paipaiworld_config,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
1026,1,彩虹的颜色顺序，最外圈通常是什么颜色？,蓝色,绿色,黄色,红色,4
1027,1,以下哪种不是可再生能源？,太阳能,风能,煤炭,水能,3
1028,1,人体有多少对染色体？,22对,23对,24对,46对,2
1029,1,使物体燃烧需要什么气体？,氮气,氧气,二氧化碳,氦气,2
1030,1,“DNA”的中文名称是什么？,核糖核酸,脱氧核糖核酸,蛋白质,氨基酸,2
1031,1,《蒙娜丽莎》是谁的画作？,梵高,毕加索,达·芬奇,莫奈,3
1032,1,莎士比亚是哪个国家的著名剧作家？,法国,意大利,英国,德国,3
1033,1,中国的国球是什么？,足球,篮球,乒乓球,羽毛球,3
1034,1,奥林匹克运动会的旗帜上有几个圆环？,三个,四个,五个,六个,3
1035,1,钢琴通常有多少个黑键和白键？,66,78,88,92,3
1036,1,中国四大古典名著不包括哪一部？,《红楼梦》,《西游记》,《金瓶梅》,《水浒传》,3
1037,1,著名的雕塑“思想者”是谁的作品？,米开朗基罗,罗丹,达·芬奇,毕加索,2
1038,1,“圆舞曲之王”指的是哪位作曲家？,贝多芬,莫扎特,肖邦,约翰·施特劳斯（小）,4
1039,1,中国传统的“文房四宝”指的是笔、墨、纸和什么？,书,砚台,印章,算盘,2
1040,1,电影《泰坦尼克号》的导演是谁？,史蒂文·斯皮尔伯格,詹姆斯·卡梅隆,克里斯托弗·诺兰,乔治·卢卡斯,2
1041,1,大熊猫最主要的食物是什么？,肉类,水果,竹子,鱼类,3
1042,1,被称为“沙漠之舟”的动物是？,马,牛,骆驼,大象,3
1043,1,世界上最大的哺乳动物是什么？,非洲象,蓝鲸,长颈鹿,北极熊,2
1044,1,蝴蝶在成虫之前经历的阶段不包括？,卵,幼虫,蛹,蚕,4
1045,1,向日葵的花盘会朝向哪个方向转动？,东方,西方,太阳,南方,3
1046,1,一年有几个月有31天？,5个,6个,7个,8个,3
1047,1,交通信号灯的绿灯表示什么？,停止,慢行,通行,警告,3
1048,1,中国的报警电话号码是？,911,110,119,120,2
1049,1,以下哪个是亚洲国家？,埃及,巴西,泰国,加拿大,3
1050,1,通常我们用什么单位来衡量体重？,米,千克（公斤）,升,秒,2
1051,1,哪个国家被称为“千岛之国”？,菲律宾,印度尼西亚,马尔代夫,日本,2
1052,1,世界上面积最小的大洲是哪个？,欧洲,南美洲,大洋洲（澳洲）,北美洲,3
1053,1,意大利的首都罗马城内有一个著名的“国中之国”，它是？,圣马力诺,梵蒂冈,摩纳哥,安道尔,2
1054,1,横跨亚欧两大洲的著名城市是哪个？,莫斯科,伊斯坦布尔,开罗,圣彼得堡,2
1055,1,世界上最深的海洋是哪个？,大西洋,印度洋,北冰洋,太平洋,4
1056,1,被称为“世界屋脊”的是哪个高原？,巴西高原,青藏高原,蒙古高原,东非高原,2
1057,1,悉尼是哪个国家的著名城市？,新西兰,英国,加拿大,澳大利亚,4
1058,1,以下哪个不是欧洲国家？,西班牙,波兰,埃及,瑞典,3
1059,1,富士山是哪个国家的象征？,韩国,中国,日本,越南,3
1060,1,地球上划分东西半球的经线是？,0度经线和180度经线,赤道,北回归线,南回归线,1
1061,1,古希腊文明不包括哪个城邦？,雅典,斯巴达,底比斯,罗马,4
1062,1,埃及法老图坦卡蒙的陵墓以什么闻名？,规模宏大,壁画精美,未被盗掘，宝藏丰富,建筑奇特,3
1063,1,“特洛伊木马”的故事与哪场古代战争有关？,希波战争,伯罗奔尼撒战争,特洛伊战争,布匿战争,3
1064,1,中国唐朝最繁盛的时期通常被称为？,文景之治,贞观之治,开元盛世,康乾盛世,3
1065,1,马可·波罗是哪个国家的人？,西班牙,葡萄牙,意大利,法国,3
1066,1,推动了欧洲宗教改革的人物是？,马丁·路德,伽利略,哥伦布,但丁,1
1067,1,美国内战（南北战争）的主要矛盾是什么？,领土扩张,宗教信仰,奴隶制度,对外贸易,3
1068,1,第二次世界大战的亚洲策源地是哪个国家？,中国,韩国,日本,德国,3
1069,1,印度争取民族独立运动的领袖人物是？,尼赫鲁,真纳,甘地,帕特尔,3
1070,1,中国的“五四运动”发生在哪一年？,1911年,1919年,1921年,1927年,2
1071,1,声音是由物体的什么产生的？,发光,振动,升温,化学反应,2
1072,1,太阳系中最靠近太阳的行星是？,金星,地球,火星,水星,4
1073,1,我们通常用什么单位来衡量电流强度？,伏特,欧姆,安培,瓦特,3
1074,1,人体最大的器官是什么？,心脏,肝脏,大脑,皮肤,4
1075,1,恐龙大约生活在哪个地质年代？,新生代,中生代,古生代,太古代,2
1076,1,光在真空中的传播速度大约是多少？,30万公里/秒,300万公里/秒,3万公里/秒,3000公里/秒,1
1077,1,以下哪种金属在室温下是液态？,铁,铝,汞（水银）,铜,3
1078,1,苹果从树上掉下来，是因为受到什么力的作用？,摩擦力,浮力,磁力,重力,4
1079,1,组成蛋白质的基本单位是什么？,葡萄糖,氨基酸,脂肪酸,核苷酸,2
1080,1,以下哪项是光的色散现象？,影子,彩虹,镜子成像,小孔成像,2
1081,1,《哈姆雷特》是莎士比亚的著名？,喜剧,悲剧,历史剧,传奇剧,2
1082,1,中国的“春节”是农历的哪一天？,正月初一,正月十五,腊月初八,腊月三十,1
1083,1,贝多芬是哪个国家的著名作曲家？,奥地利,德国,法国,意大利,2
1084,1,中国古代四大美女不包括？,西施,王昭君,貂蝉,杨玉环,3
1085,1,提出“知识就是力量”的英国哲学家是？,培根,洛克,休谟,霍布斯,1
1086,1,芭蕾舞起源于哪个国家？,俄罗斯,法国,意大利,英国,3
1087,1,中国画中，常用来象征君子的是？,牡丹,梅花,荷花,菊花,2
1088,1,“印象派”是哪个艺术领域的流派？,音乐,绘画,雕塑,文学,2
1089,1,《格林童话》是哪个国家的著名童话集？,英国,法国,丹麦,德国,4
2001,2,获得诺贝尔文学奖的亚洲第一人是？,川端康成,泰戈尔,莫言,大江健三郎,2
2002,2,世界上最大的鸟类是什么？,鹰,鸵鸟,信天翁,企鹅,2
2003,2,以下哪种动物是哺乳动物？,青蛙,鳄鱼,鲸,鲨鱼,3
2004,2,植物的根最主要的作用是什么？,进行光合作用,繁殖后代,吸收水分和养料,支撑叶片,3
2005,2,蜜蜂采集花蜜主要用来制作什么？,蜂胶,蜂王浆,蜂蜜,蜂蜡,3
2006,2,“森林之王”通常指什么动物？,熊,狼,老虎,豹,3
2007,2,一个标准的足球比赛有多少名上场队员（每队）？,7人,9人,11人,13人,3
2008,2,人的正常体温大约是多少摄氏度？,35度,37度,39度,41度,2
2009,2,“SOS”是国际通用的什么信号？,欢迎信号,求救信号,成功信号,开始信号,2
2010,2,以下哪种饮品主要成分不是水？,牛奶,果汁,茶,食用油,4
2011,2,一年中的哪个节气白天时间最长（北半球）？,春分,夏至,秋分,冬至,2
2012,2,“五大湖”主要位于哪个大洲？,亚洲,欧洲,北美洲,非洲,3
2013,2,世界上最长的山脉是？,喜马拉雅山脉,安第斯山脉,落基山脉,阿尔卑斯山脉,2
2014,2,中国的“母亲河”通常指的是哪条河流？,长江,黄河,珠江,澜沧江,2
2015,2,以下哪个国家不属于北欧国家？,挪威,瑞典,芬兰,西班牙,4
2016,2,红海因为含有哪种生物而有时呈现红色？,红珊瑚,红色藻类,红色水母,红色鱼群,2
2017,2,世界上人口密度最大的地区之一是？,西伯利亚,撒哈拉沙漠,孟加拉国,澳大利亚内陆,3
2018,2,“死海”因为什么而得名？,水是黑色的,含盐量极高，生物难以生存,经常发生海难,传说有水怪,2
2019,2,格林尼治天文台位于哪个城市？,巴黎,纽约,伦敦,柏林,3
2020,2,世界上最大的岛屿是？,格陵兰岛,新几内亚岛,加里曼丹岛,马达加斯加岛,1
2021,2,京杭大运河主要连接了中国的哪两大水系？,长江与黄河,海河与淮河,长江与淮河,黄河与海河,1
2022,2,巴西的官方语言是什么？,西班牙语,英语,法语,葡萄牙语,4
2023,2,“白金汉宫”是哪个国家君主的官邸？,法国,西班牙,英国,德国,3
2024,2,世界上最干旱的沙漠是？,撒哈拉沙漠,戈壁沙漠,阿塔卡马沙漠,卡拉哈里沙漠,3
2025,2,哪个海峡连接了地中海与大西洋？,白令海峡,直布罗陀海峡,马六甲海峡,英吉利海峡,2
2026,2,“枫叶之国”指的是哪个国家？,瑞士,奥地利,加拿大,新西兰,3
2027,2,古巴比伦文明位于哪个流域？,尼罗河流域,印度河流域,两河流域,黄河流域,3
2028,2,“丝绸之路”主要促进了中国与哪里的贸易文化交流？,非洲,美洲,欧洲与中亚,澳洲,3
2029,2,发现美洲新大陆的航海家是？,麦哲伦,达·伽马,哥伦布,郑和,3
2030,2,埃及的象形文字主要书写在什么材料上？,泥板,莎草纸,竹简,羊皮纸,2
2031,2,法国大革命爆发的标志性事件是？,处死路易十六,攻占巴士底狱,雾月政变,热月政变,2
2032,2,古希腊的“哲学三贤”指的是苏格拉底、柏拉图和谁？,亚里士多德,毕达哥拉斯,赫拉克利特,德谟克利特,1
2033,2,工业革命最早发生在哪一个行业？,煤炭业,冶金业,纺织业,交通运输业,3
2034,2,中国的秦始皇统一六国后，推行了哪种文字？,甲骨文,金文,小篆,楷书,3
2035,2,“贞观之治”是中国哪个朝代的盛世？,汉朝,唐朝,宋朝,明朝,2
2036,2,滑铁卢战役中被打败的法国皇帝是？,路易十四,拿破仑·波拿巴,查理大帝,路易十六,2
2037,2,中国历史上唯一的女皇帝是？,慈禧太后,吕雉,武则天,孝庄太后,3
2038,2,“百日维新”是中国近代史上哪一时期的改革运动？,洋务运动时期,戊戌变法时期,辛亥革命时期,新文化运动时期,2
2039,2,古印度文明的发源地是？,恒河流域,印度河流域,底格里斯河流域,幼发拉底河流域,2
2040,2,谁提出了“大陆漂移说”？,牛顿,魏格纳,达尔文,爱因斯坦,2
2041,2,俄罗斯历史上第一位沙皇是？,彼得大帝,伊凡四世（伊凡雷帝）,叶卡捷琳娜二世,亚历山大一世,2
2042,2,地球的形状更接近于一个？,正球体,椭球体,立方体,圆盘,2
2043,2,以下哪种是哺乳动物？,企鹅,海豚,海龟,章鱼,2
2044,2,光合作用的场所主要在植物细胞的哪个结构中？,细胞核,线粒体,叶绿体,液泡,3
2045,2,声音在哪种情况下无法传播？,水中,空气中,固体中,真空中,4
2046,2,人体的骨骼主要由什么组成？,蛋白质,钙和磷,脂肪,碳水化合物,2
2047,2,铁生锈是一种什么变化？,物理变化,化学变化,生物变化,核变化,2
2048,2,电池提供的是哪种形式的电流？,交流电,直流电,高频电流,脉冲电流,2
2049,2,地球围绕太阳公转一周大约是多长时间？,一天,一个月,一年,十年,3
2050,2,大气层中能够吸收紫外线，保护地球生物的是？,氧气层,臭氧层,氮气层,水蒸气层,2
2051,2,“力是改变物体运动状态的原因”是谁提出的观点？,亚里士多德,伽利略,牛顿,爱因STEIN,3
2052,2,电脑的中央处理器简称什么？,GPU,CPU,RAM,ROM,2
2053,2,以下哪种物质是酸性的？,肥皂水,石灰水,食醋,纯水,3
2054,2,人类的血型主要分为A型、B型、AB型和什么型？,C型,D型,O型,X型,3
2055,2,蜜蜂通过跳舞来传递什么信息？,危险信号,食物来源和方向,求偶信号,天气变化,2
2056,2,《命运交响曲》是谁的作品？,莫扎特,巴赫,贝多芬,肖邦,3
2057,2,中国古代的科举制度创立于哪个朝代？,汉朝,唐朝,隋朝,宋朝,3
2058,2,“圣诞节”是为了纪念谁的诞生？,耶稣基督,圣母玛利亚,圣诞老人,摩西,1
2059,2,《老人与海》的作者是哪位美国作家？,马克·吐温,福克纳,海明威,菲茨杰拉德,3
2060,2,埃及的狮身人面像位于哪座金字塔旁边？,胡夫金字塔,哈夫拉金字塔,孟卡拉金字塔,左塞尔金字塔,2
2061,2,中国的“元宵节”人们通常吃什么传统食物？,粽子,月饼,饺子,汤圆/元宵,4
2062,2,油画《星夜》的作者是荷兰画家？,伦勃朗,维米尔,梵高,蒙德里安,3
2063,2,“奥斯卡奖”是哪个领域的国际性奖项？,音乐,电影,文学,戏剧,2
2064,2,中国最大的石刻佛像“乐山大佛”位于哪个省份？,河南,山西,四川,浙江,3
2065,2,“说、学、逗、唱”是中国哪种传统曲艺的基本功？,京剧,评书,相声,二人转,3
2066,2,《一千零一夜》又名什么？,《伊索寓言》,《天方夜谭》,《荷马史诗》,《源氏物语》,2
2067,2,“蓝色多瑙河”是一首著名的什么乐曲？,进行曲,圆舞曲,小夜曲,奏鸣曲,2
2068,2,日本的传统戏剧“能剧”表演者通常会佩戴什么？,华丽的头饰,鲜艳的服装,面具,厚底鞋,3
2069,2,被誉为“书圣”的中国古代书法家是？,颜真卿,柳公权,王羲之,欧阳询,3
2070,2,意大利文艺复兴时期的“美术三杰”不包括？,达·芬奇,米开朗基罗,拉斐尔,提香,4
2071,2,鲸鱼用什么呼吸？,鳃,肺,皮肤,气孔,2
2072,2,以下哪种植物被称为“活化石”？,松树,银杏树,榕树,玫瑰,2
2073,2,毛毛虫是哪种昆虫的幼虫？,蚊子,苍蝇,蝴蝶或蛾,蜻蜓,3
2074,2,世界上最大的花是？,牡丹,向日葵,大王花（莱佛士花）,玫瑰,3
2075,2,变色龙改变体色主要是为了什么？,吸引异性,调节体温,伪装和交流,警告天敌,3
2076,2,以下哪种鸟类不会飞？,麻雀,燕子,企鹅,老鹰,3
2077,2,食草动物的牙齿特点通常是？,犬齿发达,臼齿扁平、发达,门齿尖锐,牙齿稀疏,2
2078,2,“沙漠玫瑰”实际上是一种什么？,植物,动物,矿物结晶,工艺品,3
2079,2,植物的种子传播方式不包括？,风力传播,水力传播,动物传播,光合作用传播,4
2080,2,以下哪种动物有再生能力，失去一部分身体后可以重新长出来？,狗,猫,壁虎（尾巴）,鸟,3
2081,2,中华人民共和国的国旗是什么颜色？,红黄两色,蓝白红三色,红白两色,纯红色,1
2082,2,我们通常用“pH值”来表示溶液的什么性质？,温度,浓度,酸碱度,密度,3
2083,2,奥运会每隔几年举办一次？,两年,三年,四年,五年,3
2084,2,地球上的一天是根据什么现象定义的？,地球公转,月球公转,地球自转,太阳活动,3
2085,2,以下哪个节日不是中国的传统节日？,清明节,端午节,中秋节,感恩节,4
2086,2,驾驶汽车时，遇到红灯应该怎么做？,加速通过,减速慢行,停车等待,鸣笛示意,3
2087,2,一星期中的第一天通常被认为是？,星期一,星期日,星期六,星期三,1
2088,2,“千克”是什么物理量的单位？,长度,时间,质量,温度,3
2089,2,计算机的键盘上，哪个键通常用来删除光标前的字符？,Enter,Delete,Backspace,Shift,3
2090,2,成语“画蛇添足”比喻做了什么样的事情？,锦上添花,多此一举,半途而废,歪打正着,2
2091,2,人的五官不包括？,眼睛,鼻子,嘴巴,头发,4
2092,2,指南针的指针通常指向哪个方向？,东方,西方,南方,北方,4
2093,2,“PM2.5”指的是大气中直径小于或等于多少微米的颗粒物？,10微米,2.5微米,100微米,0.1微米,2
2094,2,中国居民身份证的有效期最长是多久（对于60周岁以上）？,10年,20年,长期,5年,3
2095,2,以下哪种行为有助于环保？,随手丢垃圾,使用一次性餐具,节约用水用电,长时间开空调,3
